"Vendor.Name","Sum(Line.Total)","Mean(Unit.Price)","Count(NIGP.Description)","Count*(Line.Total)","Risk_Level"
"1 ADVANCED ENTERPRISES LLC",305493.05964,119.95161277666003,994,994,"Low Risk"
"1 STOP SUPPLY LLC",649.928,47.24425,8,8,"Low Risk"
"1 TAILORED ECOMMERCE LLC",15337,384.91666666666663,12,12,"Low Risk"
"2 PROCUREMENT LLC",21344.460000000003,156.95250000000001,48,48,"Low Risk"
"20-20 TECHNOLOGIES COMMERCIAL CORP",14537.99998,1038.42857,2,2,"Low Risk"
"22ND CENTURY TECHNOLOGIES INC",2309825.1566000003,30.1510294117647,204,204,"Medium Risk"
"22ND CENTURY TECHNOLOGIES, INC.",426932.36200000014,24.115789473684206,38,38,"Low Risk"
"3M COMPANY",5169379.810899991,4.226025817490491,526,526,"High Risk"
"A & M SUPPLY CORPORATION",2828754.042200003,92.12709225950789,894,894,"Medium Risk"
"A M DAVIS INC",128121.33600000001,995.6483606557376,122,122,"Low Risk"
"ABACUS CORPORATION",106002.1872,26.208,10,10,"Low Risk"
"ABACUS OFFICE SOLUTIONS LLC",144.88,25.51,4,4,"Low Risk"
"ACCESS OFFICE PRODUCTS LLC",4207.059999999999,19.969000000000005,60,60,"Low Risk"
"ACCURATE COURIER EXPRESS",740.84,370.42,2,2,"Low Risk"
"ADAMS WOOD PRODUCTS INC",301.04,37.63,2,2,"Low Risk"
"ADVANTAGE SUPPLY CENTER INC",35513.96,148.9119660377358,106,106,"Low Risk"
"ADVERTISING PROMOTIONS AND DESIGN LLC",42606.6,104.90351190476187,84,84,"Low Risk"
"AFP INDUSTRIES INC",846.94,96.8675,8,8,"Low Risk"
"AIR COMPRESSOR SERVICES",24254,12127,2,2,"Low Risk"
"AKZO NOBEL COATINGS INC",158224.2792,29.404623571428576,84,84,"Low Risk"
"ALL ABOUT LAWNS INC",1854,463.5,4,4,"Low Risk"
"ALLCITY LABEL & TAG CO",68876.34,0.5841666666666665,24,24,"Low Risk"
"AMCON LABORATORIES INC",422.14,61.35666666666667,6,6,"Low Risk"
"AMERICAN & EFIRD LLC",370004.25046,13.279147960526325,304,304,"Low Risk"
